ID,Title,Authors,Journal,Publication Year,Citations,Fields
1,Understanding individual human mobility patterns,"Marta C Gonzalez, Cesar A Hidalgo, Albert-Laszlo Barabasi",Nature,2008,3209,Computer Science
2,The product space conditions the development of nations,"César A Hidalgo, Bailey Klinger, A-L Barabási, Ricardo Hausmann",Science,2007,971,Computer Science
3,The building blocks of economic complexity,"César A Hidalgo, Ricardo Hausmann",Proceedings of the National Academy of Sciences,2009,500,Computer Science
4,Unique in the crowd: The privacy bounds of human mobility,"Yves-Alexandre De Montjoye, César A Hidalgo, Michel Verleysen, Vincent D Blondel",Scientific reports,2013,433,Computer Science
5,The atlas of economic complexity: Mapping paths to prosperity,"Ricardo Hausmann, César A Hidalgo, Sebastián Bustos, Michele Coscia, Alexander Simoes, Muhammed A Yildirim",Mit Press,2014,403,Computer Science
6,Understanding the spreading patterns of mobile phone viruses,"Pu Wang, Marta C González, César A Hidalgo, Albert-László Barabási",Science,2009,324,Computer Science
7,A dynamic network approach for the study of human phenotypes,"César A Hidalgo, Nicholas Blumm, Albert-László Barabási, Nicholas A Christakis",PLoS computational biology,2009,256,Biology
8,Genome-scale analysis of in vivo spatiotemporal promoter activity in Caenorhabditis elegans,"Denis Dupuy, Nicolas Bertin, César A Hidalgo, Kavitha Venkatesan, Domena Tu, David Lee, Jennifer Rosenberg, Nenad Svrzikapa, Aurélie Blanc, Alain Carnec, Anne-Ruxandra Carvunis, Rock Pulak, Jane Shingles, John Reece-Hoyes, Rebecca Hunt-Newbury, Ryan Viveiros, William A Mohler, Murat Tasan, Frederick P Roth, Christian Le Peuch, Ian A Hope, Robert Johnsen, Donald G Moerman, Albert-László Barabási, David Baillie, Marc Vidal",Nature biotechnology,2007,214,"Biology, Technology"
9,The dynamics of a mobile phone network,"Cesar A Hidalgo, C Rodriguez-Sickert",Physica A: Statistical Mechanics and its Applications,2008,186,Statistics
10,The network structure of economic output,"Ricardo Hausmann, César A Hidalgo",Journal of Economic Growth,2011,185,Economics
11,Proto-genes and de novo gene birth,"Anne-Ruxandra Carvunis, Thomas Rolland, Ilan Wapinski, Michael A Calderwood, Muhammed A Yildirim, Nicolas Simonis, Benoit Charloteaux, César A Hidalgo, Justin Barbette, Balaji Santhanam, Gloria A Brar, Jonathan S Weissman, Aviv Regev, Nicolas Thierry-Mieg, Michael E Cusick, Marc Vidal",Nature,2012,172,Biology
12,Transcription factor modularity in a gene-centered C. elegans core neuronal protein–DNA interaction network,"Vanessa Vermeirssen, M Inmaculada Barrasa, César A Hidalgo, Jenny Aurielle B Babon, Reynaldo Sequerra, Lynn Doucette-Stamm, Albert-László Barabási, Albertha JM Walhout",Genome research,2007,92,"Biology, Genomics"
13,The dynamics of economic complexity and the product space over a 42 year period,César Hidalgo,Center for International Development Working Paper,2009,70,Economics
14,Neighbors and the evolution of the comparative advantage of nations: Evidence of international knowledge diffusion?,"Dany Bahar, Ricardo Hausmann, Cesar A Hidalgo",Journal of International Economics,2014,62,Biology
15,Conditions for the emergence of scaling in the inter-event time of uncorrelated and seasonal systems,César A Hidalgo R,Physica A: Statistical Mechanics and its Applications,2006,61,"Statistics, Physics"
16,The collaborative image of the city: mapping the inequality of urban perception,"Philip Salesses, Katja Schechtner, César A Hidalgo",PloS one,2013,59,Computer Science
17,Links that speak: The global language network and its association with global fame,"Shahar Ronen, Bruno Gonçalves, Kevin Z Hu, Alessandro Vespignani, Steven Pinker, César A Hidalgo",Proceedings of the National Academy of Sciences,2014,111,Computer Science
18,A network view of economic development,"Cesar A Hidalgo, Ricardo Hausmann",Developing alternatives,2008,32,Economics
19,The Dynamics of Nestedness Predicts the Evolution of Industrial Ecosystems,"Sebastian Bustos, Charles Gomez, Ricardo Hausmann, Hidalgo Cesar A",PLoS One,2012,27,Biology
20,The effect of social interactions in the primary consumption life cycle of motion pictures,"César A Hidalgo R, Alejandra Castro, Carlos Rodriguez-Sickert",New Journal of Physics,2006,27,Physics
